id_partido,Date,Equipo_local,Equipo_visitante,FTR,Prediccion,Prob_H,Prob_D,Prob_A
9685,2026-01-10,Girona,Osasuna,H,D,0.3173961071079505,0.3615967472998636,0.32100714559218596
9686,2026-01-10,Valencia,Elche,D,D,0.32234529554723584,0.36762904346566355,0.3100256609871006
9687,2026-01-11,Vallecano,Mallorca,H,D,0.34611590927023045,0.36200174812576946,0.29188234260400014
9688,2026-01-11,Levante,Espanol,D,A,0.24600235092777592,0.3500457407587373,0.4039519083134869
9689,2026-01-12,Sevilla,Celta,A,A,0.2652974324848708,0.3542659501983154,0.38043661731681383
9690,2026-01-16,Espanol,Girona,A,H,0.37014848944951645,0.3482353252258736,0.2816161853246099
9691,2026-01-17,Real Madrid,Levante,H,H,0.6039546419837327,0.22464322226550668,0.17140213575076058
9692,2026-01-17,Mallorca,Ath Bilbao,H,A,0.20929604294026458,0.3557434396213698,0.43496051743836567
9693,2026-01-17,Osasuna,Oviedo,H,H,0.3704688537993444,0.34767122143448614,0.2818599247661695
9694,2026-01-17,Betis,Villarreal,H,A,0.2641561274185865,0.36080209246782513,0.37504178011358835
9695,2026-01-18,Getafe,Valencia,A,D,0.3011155494788935,0.38682882462123935,0.3120556258998671
9696,2026-01-18,Ath Madrid,Alaves,H,H,0.5993351338006546,0.2212276976557295,0.17943716854361594
9697,2026-01-18,Celta,Vallecano,H,D,0.3252749951964605,0.3611529400691556,0.31357206473438376
9698,2026-01-18,Sociedad,Barcelona,H,A,0.18065409041833339,0.2351085516556529,0.5842373579260136
9699,2026-01-19,Elche,Sevilla,D,D,0.31841101811090705,0.3657297397233217,0.3158592421657713
9700,2026-01-23,Levante,Elche,H,D,0.3162340239769151,0.3700662813548895,0.31369969466819536
9701,2026-01-24,Vallecano,Osasuna,A,D,0.3201111955094294,0.3634479759149142,0.3164408285756564
9702,2026-01-24,Valencia,Espanol,H,D,0.30781088106278826,0.3808762512006988,0.31131286773651295
9703,2026-01-24,Sevilla,Ath Bilbao,H,A,0.2794197294963464,0.3230426129912559,0.39753765751239767
9704,2026-01-24,Villarreal,Real Madrid,A,A,0.18690624513962908,0.2772329550059107,0.5358607998544602
9705,2026-01-25,Ath Madrid,Mallorca,H,H,0.5405160008090407,0.25370476881316595,0.2057792303777933
9706,2026-01-25,Barcelona,Oviedo,H,H,0.66149875207866,0.1803762995621801,0.15812494835915983
9707,2026-01-25,Sociedad,Celta,H,D,0.3420025446173709,0.34733490708756104,0.3106625482950681
9708,2026-01-25,Alaves,Betis,H,D,0.2621210172556689,0.36961531041288714,0.3682636723314439
9709,2026-01-26,Girona,Getafe,D,D,0.3238504570522502,0.37933468081892735,0.29681486212882247
9710,2026-01-30,Espanol,Alaves,A,D,0.34520650853657586,0.37155655230427354,0.28323693915915055
9711,2026-01-31,Oviedo,Girona,H,D,0.2643648598167222,0.3696822188003121,0.36595292138296576
9712,2026-01-31,Osasuna,Villarreal,D,A,0.2577180494834035,0.35806582365864614,0.3842161268579503
9713,2026-01-31,Levante,Ath Madrid,D,A,0.17811675052445017,0.3354691765439786,0.48641407293157124
9714,2026-01-31,Elche,Barcelona,A,A,0.18224337839527888,0.23849216075724972,0.5792644608474714
9715,2026-02-01,Real Madrid,Vallecano,H,H,0.6240585131893019,0.21993688283685417,0.15600460397384397
9716,2026-02-01,Betis,Valencia,H,H,0.3700963957188695,0.34832705288215393,0.2815765513989766
9717,2026-02-01,Getafe,Celta,D,D,0.29213667585207237,0.3895009642420916,0.3183623599058361
9718,2026-02-01,Ath Bilbao,Sociedad,D,D,0.3190141724939443,0.3741639782099953,0.3068218492960604
9719,2026-02-02,Mallorca,Sevilla,H,D,0.31552852237448836,0.3653531644134794,0.3191183132120322
9720,2026-02-06,Celta,Osasuna,A,D,0.34358903374169425,0.35899541023166115,0.29741555602664455
9721,2026-02-07,Barcelona,Mallorca,H,H,0.6104744898423455,0.20756546848428528,0.1819600416733692
9722,2026-02-07,Sociedad,Elche,H,H,0.3958374879826537,0.34589462828119627,0.2582678837361501
9723,2026-02-08,Alaves,Getafe,A,D,0.31614449315414506,0.3797936613296913,0.30406184551616355
9724,2026-02-08,Ath Bilbao,Levante,H,H,0.4062394206873482,0.3446544604476077,0.24910611886504416
9725,2026-02-08,Sevilla,Girona,D,D,0.3261678410974313,0.3601300452815287,0.3137021136210401
9726,2026-02-08,Ath Madrid,Betis,A,H,0.5202334273931805,0.24100081938329973,0.2387657532235198
9727,2026-02-08,Valencia,Real Madrid,A,A,0.17928109052219451,0.24092184864052826,0.5797970608372772
9728,2026-02-09,Villarreal,Espanol,H,H,0.43435453503162885,0.3307924096156089,0.23485305535276227
9729,2026-02-13,Elche,Osasuna,D,A,0.2670261836198686,0.36625517326494866,0.36671864311518276
9730,2026-02-14,Espanol,Celta,D,D,0.3140426562430293,0.36834180148292484,0.31761554227404604
9731,2026-02-14,Getafe,Villarreal,H,A,0.23099923755743212,0.3573490619659262,0.4116517004766416
9732,2026-02-14,Sevilla,Alaves,D,D,0.3195166707117109,0.37317818662868385,0.30730514265960523
9733,2026-02-14,Real Madrid,Sociedad,H,H,0.5545192797365097,0.26574156131802146,0.17973915894546888
9734,2026-02-15,Oviedo,Ath Bilbao,A,A,0.21462341002674373,0.2803635377794843,0.505013052193772
9735,2026-02-15,Vallecano,Ath Madrid,H,A,0.208005936638957,0.335254003939033,0.4567400594220099
9736,2026-02-15,Levante,Valencia,A,A,0.25496491293516665,0.3649234436274079,0.3801116434374255
9737,2026-02-15,Mallorca,Betis,A,A,0.2485753154476406,0.3483511958019325,0.40307348875042687
9738,2026-02-16,Girona,Barcelona,H,A,0.17928109052219451,0.24092184864052826,0.5797970608372772
9739,2026-02-18,Levante,Villarreal,A,A,0.17788341928578016,0.33633970556337084,0.48577687515084894
9740,2026-02-20,Ath Bilbao,Elche,H,H,0.40581647471008997,0.34289138457812746,0.2512921407117825
9741,2026-02-21,Sociedad,Oviedo,D,H,0.4157920890219412,0.36236671385279867,0.22184119712526013
